Function_One_Single_Hidden
neurons, epochs, mse, execution_time
1,100,0.03378915691480587,0:00:02.698806
2,200,0.018215577672202426,0:00:05.094387
3,300,0.016769250361260285,0:00:07.575753
4,400,0.013661929486351566,0:00:10.216663
5,500,0.013104230660773698,0:00:13.302422
6,600,0.012716619241590128,0:00:16.030134
7,700,0.012531635038918949,0:00:18.738888
8,800,0.012226287274609147,0:00:21.425240
9,900,0.012089251856986338,0:00:22.811867
10,1000,0.0037579301050925606,0:00:25.284464
Function_One_Multi_Hidden
neurons, epochs, mse, execution_time
1,100,0.04492811763230562,0:00:03.788865
2,200,0.025342686890809516,0:00:07.951979
3,300,0.016712336448643672,0:00:11.267800
4,400,0.011146644625068963,0:00:14.791453
5,500,0.0012753278086433239,0:00:19.040785
6,600,0.0009536547367652096,0:00:23.618458
7,700,0.007500428201906533,0:00:28.014314
8,800,0.0009611067594883327,0:00:29.141196
9,900,0.0006026615739214676,0:00:32.617374
10,1000,0.00041633303533080546,0:00:36.641323
Function_Two_Single_Hidden
neurons, epochs, mse, execution_time
1,100,0.0014526036782538249,0:00:06.510414
2,200,0.0014253680511714395,0:00:12.388297
3,300,0.0013744777734104369,0:00:19.463352
4,400,0.0013628375814130399,0:00:26.383119
5,500,0.0013691611335961593,0:00:32.122631
6,600,0.0015353855126847822,0:00:38.045453
7,700,0.001477672166953278,0:00:43.352247
8,800,0.0014504606970379057,0:00:48.312106
9,900,0.0013285938417624673,0:00:57.224204
10,1000,0.001373407395827029,0:01:04.987581
Function_Two_Multi_Hidden
neurons, epochs, mse, execution_time
1,100,0.0007186326587546711,0:00:08.434446
2,200,0.0007009639159300008,0:00:17.542763
3,300,0.00038005397150569364,0:00:26.586716
4,400,0.0006849236963042036,0:00:35.374332
5,500,2.4684627296409274e-05,0:00:43.360022
6,600,1.836743933903235e-05,0:00:51.652965
7,700,7.905279403549306e-06,0:00:59.748382
8,800,7.393838252908631e-06,0:01:11.802336
9,900,7.531381306113264e-06,0:01:19.631200
10,1000,6.113528700082555e-06,0:01:29.241063
